Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,Building type,Floor space,Fully furnished,Condition,Ownership,Heating,Balcony,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,EPC,Enclosed balcony,Cellar,Reconstruction,Designe,New-build,Parking,Domácí mazlíčci vítáni,Age,Garage,Terrace,Administrative fee
"CZK 19,000","CZK 4,500","CZK 25,000",682392,2+kk,9/18/2022,6,Brick,57 m²,Partly,Very good,Personal,,,1.0,185.73,568.17,158.58,350.06,210.16,318.32,415.22,779.92,428.0,386.65,"Svatoslavova, Prague - Nusle",50.0617576,14.4436839,G,,,Complete,Standard,,,,Over 50 years,,,
"CZK 29,580","CZK 9,860",,740891,1 bedroom,11/16/2022,7,,40 m²,Fully furnished,,,,,1.0,87.51,353.67,89.15,198.61,58.78,391.0,424.89,274.26,259.72,601.24,"Zborovská, Prague - Smíchov",50.0730365,14.4083833,,,,,,,,,,,,
"CZK 23,500","CZK 3,500","CZK 27,000",246363,2+kk,11/1/2022,4,Brick,64 m²,Fully furnished,Very good,Personal,Gas boiler,,1.0,445.68,383.8,153.32,598.7,231.91,394.35,94.28,421.47,659.65,331.65,"Pernerova, Prague - Karlín",50.0899848,14.4491976,G,,,Interior,Luxurious,,,,Up to 10 years,,,
"CZK 12,400","CZK 3,700","CZK 15,000",420128,Small studio,7/1/2022,5,Brick,21 m²,Partly,,Personal,Central,,,547.01,459.9,413.44,1625.07,241.32,1159.89,461.89,421.54,424.59,220.06,"Za Hládkovem, Prague - Střešovice",50.0889422,14.3834582,,,1.0,Interior,Standard,,,,30 - 50 years,,1.0,
"CZK 25,000","CZK 7,000","CZK 50,000",740880,3+1,9/16/2022,9,Prefab concrete,73 m²,Partly,Very good,,Distance,1.0,1.0,150.21,1065.51,122.99,745.82,275.03,439.02,447.45,903.52,387.6,282.72,Prague - Strašnice,50.06914,14.48862,G,,1.0,Complete,Standard,,1.0,1.0,,1.0,,
"CZK 14,750","CZK 2,728","CZK 32,000",509665,Studio,9/19/2022,3,Brick,40 m²,Partly,New-build,Personal,Central,1.0,1.0,224.4,1278.71,656.5,1260.26,929.14,1205.56,1200.64,1240.37,1130.47,482.15,"Granitova, Prague - Hloubětín",50.1087505,14.5266177,B,,1.0,,Luxurious,1.0,1.0,,Up to 10 years,1.0,,
"CZK 10,000","CZK 2,300","CZK 12,300",740875,2+kk,9/16/2022,1,Brick,64 m²,Fully furnished,Very good,,,,,42.35,61.62,67.5,299.47,37.75,493.17,161.09,489.03,309.11,272.43,Prague - Malá Strana,50.08023,14.40446,G,,1.0,,,,1.0,,,,,
"CZK 8,900","CZK 3,200","CZK 8,900",740872,1 bedroom,9/16/2022,7,Brick,30 m²,Partly,Good,,Central,,1.0,199.7,286.81,295.47,268.36,312.88,288.62,201.15,159.89,284.84,115.87,Prague - Hloubětín,50.10361,14.53686,D,,,,,,1.0,,,,,
"CZK 27,500","CZK 2,500","CZK 30,000",740869,2+kk,10/1/2022,6,Brick,80 m²,Partly,Very good,,,,1.0,76.46,1107.89,147.24,346.66,213.11,540.3,323.99,810.87,580.16,920.59,Prague - Holešovice,50.10095,14.4371,G,,1.0,,,,,,,,,
"CZK 11,000","CZK 2,500","CZK 20,000",558580,Studio,10/1/2022,2,Brick,32 m²,Partly,,,Central,,,373.21,1008.33,345.05,695.97,340.31,423.14,423.27,736.47,111.65,176.35,Prague - Libeň,50.1102035,14.4760865,,,,,,,,,,,,
"CZK 15,500","CZK 1,500","CZK 17,000",669807,Small studio,6/24/2021,1,Brick,32 m²,Fully furnished,Very good,Personal,Electric boiler,,,271.61,407.23,162.15,824.81,228.81,286.75,544.45,427.44,625.13,192.06,"V Olšinách, Prague - Vršovice",50.07122,14.48201,B,,,Complete,,,,,,,,
"CZK 24,000","CZK 4,000","CZK 56,000",740861,3+kk,9/16/2022,3,Prefab concrete,69 m²,Partly,Very good,Personal,Central,,1.0,73.66,662.81,220.81,961.04,335.04,254.78,383.83,914.37,129.83,113.1,Prague - Záběhlice,50.05746,14.49419,B,,,Complete,Luxurious,,,,30 - 50 years,,,
