Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Design,Heating,Total number of floors,Front garden,Renovation,Age,Administration fee,New building,Developer name,Project name,Kód jednotky
335666,"CZK 11,600",50.035375,14.5012327,"Benkova, Prague - Chodov",Studio,,30 m²,"CZK 2,600","CZK 22,000",Personal,Prefab concrete building,Partially furnished,6,No,No,No,No,No,Yes,No,01. 02. 2022,,326,278,468,"1,034",294,473,362,445,289,184,,District heating,Middle floor,,Overall,,,,,,
699335,"CZK 10,500",50.13373,14.51058,"Chlebovická, Prague - Letňany",Studio,New build,31 m²,"CZK 3,300","CZK 20,000",Personal,Low-energy building,Partially furnished,11,No,No,Yes,No,No,Yes,No,13. 01. 2022,B,97,753,403,335,416,420,281,383,249,43,,,,,,,,,,,
700056,"CZK 15,000",50.0216275,14.4502575,"Sulická, Prague - Lhotka",2 bedroom with open-plan kitchen,Excellent,56 m²,"CZK 3,500","CZK 30,000",Personal,Prefab concrete building,Furnished,6,No,No,No,No,Yes,No,No,01. 02. 2022,G,198,404,376,"1,425",315,399,538,737,744,369,,District heating,Middle floor,,Overall,,,,,,
633616,"CZK 17,500",50.071479,14.384602,"Plzeňská, Prague - Košíře",1 bedroom with open-plan kitchen,Excellent,52 m²,"CZK 2,000","CZK 25,000",Personal,Brick building,Partially furnished,3,Yes,No,Yes,No,No,Yes,Yes,17. 01. 2022,D,211,848,198,"1,063",259,"1,187",273,527,"1,172",481,Premium materials and solutions,Central heating,Top floor,,Overall,,,,,,
493824,"CZK 11,500",50.0436333,14.5513071,"Rudolfa Antonína Dvorského, Prague - Horní Měcholupy",Small studio,,35 m²,"CZK 2,500","CZK 11,500",Personal,Brick building,Furnished,5,No,No,Yes,No,Yes,No,No,01. 12. 2020,,365,553,411,968,500,894,690,760,570,380,Standard materials and solutions,,,,,1 to 10 years years,,,,,
377257,"CZK 10,500",50.1157822,14.4746318,"Františka Kadlece, Prague - Libeň",1 bedroom with open-plan kitchen,Excellent,35 m²,"CZK 4,000","CZK 20,000",Personal,Brick building,Furnished,2,No,No,No,No,Yes,No,No,01. 03. 2022,,191,"1,351",383,"1,263",185,645,562,"1,315",909,285,,Central heating,Middle floor,,Overall,,,,,,
700037,"CZK 16,500",50.06615,14.43427,"Na Folimance, Prague - Vinohrady",1 bedroom with open-plan kitchen,Excellent,63 m²,"CZK 4,216","CZK 35,000",Personal,Brick building,Partially furnished,2,No,No,No,No,No,No,No,19. 01. 2022,G,299,493,296,627,224,427,282,335,241,381,Standard materials and solutions,Other,,,Overall,,,,,,
517241,"CZK 11,000",50.0296633,14.6016243,Prague - Uhříněves,Studio,New build,136 m²,"CZK 3,008","CZK 22,000",Personal,Low-energy building,Furnished,1,Yes,Yes,Yes,No,Yes,Yes,No,14. 07. 2021,B,60,301,26,310,16,254,183,340,372,388,Premium materials and solutions,District heating,Raised ground floor,,,1 to 10 years years,,Yes,,,
540297,"CZK 19,999",50.04304,14.31343,"Toufarova, Prague - Stodůlky",1 bedroom with open-plan kitchen,New build,60 m²,"CZK 2,500","CZK 40,000",Personal,Brick building,Partially furnished,2,Yes,No,No,No,No,No,No,01. 02. 2022,B,258,485,231,799,821,429,778,559,"1,031",582,Premium materials and solutions,Central heating,Middle floor,,,1 to 10 years years,,,,,
625388,"CZK 16,000",50.093588,14.460226,"Na Střelnici, Prague - Karlín",2 bedroom,Excellent,53 m²,"CZK 1,200","CZK 25,000",Personal,Brick building,Unfurnished,5,No,No,No,No,No,No,No,01. 02. 2022,G,396,"1,053",145,664,291,527,152,"1,051",577,93,Standard materials and solutions,Electric boiler,Top floor,,Overall,,,,,,
536967,"CZK 9,900",50.0433857,14.4559712,"Počátecká, Prague - Michle",1 bedroom,Excellent,35 m²,"CZK 2,000","CZK 13,000",Personal,Brick building,Unfurnished,-1,No,No,No,No,No,No,No,01. 02. 2022,G,168,776,471,472,171,230,275,601,688,150,Standard materials and solutions,Gas boiler,Ground floor,,Interior,over 50 years years,,,,,
545180,"CZK 19,500",50.1078975,14.3941121,"Jugoslávských partyzánů, Prague - Dejvice",1 bedroom with open-plan kitchen,,65 m²,"CZK 1,500",,Personal,Brick building,Furnished,2,Yes,No,No,No,No,No,No,ihned,C,109,"1,116",78,510,43,384,416,363,533,332,,,,,,,,,,,
699286,"CZK 25,000",50.1045652,14.4789467,"Novákových, Prague - Libeň",2 bedroom,Excellent,88 m²,"CZK 3,000","CZK 50,000",Personal,Brick building,Partially furnished,1,Yes,No,No,Yes,No,No,No,13. 01. 2022,G,42,323,150,322,17,275,345,434,186,381,,Gas boiler,Middle floor,,,,,,,,
