Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Refundable security deposit,Building type,Age,Reconstruction,Condition,Ownership,EPC,Heating,Designe,Terrace,Balcony,New-build,Garage,Parking,Enclosed balcony,Domácí mazlíčci vítáni,Cellar,Administrative fee
"CZK 18,500",CZK 0,127984,2 bedroom,8/31/2022,75 m²,Partly,1,,377.86,952.52,268.88,785.46,427.06,919.2,278.57,123.86,840.54,359.97,"Zdařilá, Prague - Nusle",50.0551428,14.4464394,"CZK 25,000",Brick,Over 50 years,Complete,Very good,Personal,G,Gas boiler,Standard,,,,,,,,,
"CZK 13,900","CZK 2,500",731265,Studio,8/27/2022,32 m²,Partly,4,1.0,80.58,970.2,288.35,326.95,469.13,383.3,436.86,1714.08,660.71,182.37,Prague - Třebonice,50.05601,14.29032,"CZK 16,400",Brick,,,New-build,,B,,,,1.0,,1.0,,,,,
"CZK 16,000","CZK 4,000",588117,1 bedroom,10/1/2022,33 m²,Fully furnished,3,1.0,80.93,772.53,296.07,305.04,11.12,272.3,712.28,491.69,107.1,150.48,"Na Dolinách, Prague - Nusle",50.057065,14.430227,"CZK 20,000",Brick,30 - 50 years,Interior,Very good,Personal,,Central,Standard,,,,,1.0,,,,
"CZK 12,000","CZK 3,500",731716,Small studio,8/30/2022,27 m²,Fully furnished,11,1.0,136.06,726.01,218.73,718.67,65.95,178.47,358.47,369.3,1202.72,252.72,Prague - Braník,50.02487,14.42535,"CZK 36,000",Prefab concrete,,,Very good,,G,,,,,,,,,,,
"CZK 12,500","CZK 3,500",731165,Studio,8/25/2022,33 m²,Partly,4,1.0,182.11,1074.41,283.25,1012.79,371.69,350.69,363.12,206.49,164.67,174.46,Prague - Střížkov,50.12414,14.48686,"CZK 12,500",Prefab concrete,,,Good,,G,,,,1.0,,,,,,,
"CZK 19,500","CZK 5,365",711808,2+kk,10/1/2022,49 m²,Fully furnished,6,1.0,47.78,826.64,80.43,845.07,369.97,226.1,585.05,391.79,530.72,483.78,"Lehovecká, Prague - Hloubětín",50.1079,14.54644,"CZK 39,000",Brick,,,New-build,Personal,B,,,,1.0,,1.0,1.0,,,1.0,
"CZK 20,000","CZK 3,500",730536,2+kk,9/1/2022,65 m²,Fully furnished,1,,467.09,1003.0,522.43,1785.3,521.26,624.12,460.18,394.67,481.92,205.34,Prague - Libuš,50.01273,14.44535,"CZK 40,000",Brick,,,Very good,,D,,,1.0,,,,,,,,
"CZK 23,000","CZK 3,500",730684,3+1,8/21/2022,90 m²,Partly,1,,277.75,748.23,269.12,722.31,157.77,746.58,201.36,325.29,680.02,360.28,Prague - Strašnice,50.07413,14.49928,"CZK 46,000",Brick,,,Good,,G,,,1.0,,,,,,,,
"CZK 13,500",CZK 800,731707,Studio,8/30/2022,40 m²,Partly,4,1.0,192.27,910.61,150.25,326.7,59.39,306.72,360.7,594.12,374.26,65.73,Prague - Libeň,50.10481,14.488,"CZK 10,000",Brick,,,New-build,,G,,,,1.0,1.0,1.0,1.0,,,1.0,
"CZK 14,000","CZK 4,000",731706,Studio,9/1/2022,36 m²,Fully furnished,6,1.0,98.94,212.38,336.44,633.84,282.69,200.56,528.97,374.06,286.17,183.52,Prague - Žižkov,50.08344,14.4666,"CZK 20,000",Low-energy,,,New-build,,B,,,1.0,,1.0,,,,,1.0,
