Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,EPC,Floor space,Fully furnished,Condition,Building type,Cellar,Lift,Domácí mazlíčci vítáni,Enclosed balcony,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Heating,Designe,Ownership,Reconstruction,Age,Terrace,Parking,New-build,Balcony,Garage,Administrative fee,Plot type
"CZK 7,000",CZK 0,"CZK 7,000",397221,3+1,8/27/2022,2,,70 m²,Fully furnished,,Prefab concrete,,,,,184.65,1386.64,61.73,1629.65,601.16,501.19,366.16,861.96,1674.5,166.89,"Radimovická, Prague - Chodov",50.0221289,14.5150558,,,Personal,,,,,,1.0,,,
"CZK 21,500","CZK 4,200","CZK 30,000",621022,2+kk,9/1/2020,4,D,68 m²,Partly,Very good,Brick,,1.0,,,340.38,692.59,244.27,689.89,421.32,526.19,638.04,193.52,678.92,299.57,"Štěpařská, Prague - Hlubočepy",50.029986,14.376053,Distance,Standard,Personal,,10 to 30 years,,,,1.0,1.0,,
"CZK 25,500","CZK 8,500",,731857,2+kk,9/2/2022,3,,48 m²,Fully furnished,,,,1.0,,,188.32,492.36,64.31,169.76,16.44,202.35,307.51,551.4,544.96,488.43,"Řeznická, Prague - Nové Město",50.0781758,14.4220203,,,,,,,,,,,,
"CZK 20,000","CZK 3,000","CZK 20,000",654482,2 bedroom,9/5/2022,2,C,47 m²,Fully furnished,Very good,Brick,,1.0,,,242.96,1014.5,91.5,312.36,76.96,135.27,336.66,291.12,411.24,337.32,"Buchovcova, Prague - Žižkov",50.0905,14.47285,,,Personal,,,,,,,,,
"CZK 27,000","CZK 6,000","CZK 33,000",462223,3+kk,9/1/2022,8,B,106 m²,Fully furnished,New-build,Brick,,1.0,,,212.08,812.91,162.18,1052.96,441.38,396.18,445.25,146.72,1065.71,247.83,"Otradovická, Prague - Kamýk",50.0198176,14.4448089,Central,Luxurious,Personal,,Up to 10 years,1.0,,1.0,,1.0,,
"CZK 9,000","CZK 3,000","CZK 10,000",642394,Small studio,9/9/2022,1,G,21 m²,Partly,Very good,Brick,1.0,,,,40.4,128.96,206.2,624.34,291.79,589.26,489.02,532.48,381.68,101.04,"Jabloňová, Prague - Záběhlice",50.056632,14.502264,Distance,,Personal,Interior,,,,,,,,
"CZK 12,000","CZK 4,000","CZK 16,000",731504,2+kk,9/5/2022,1,G,48 m²,Partly,Very good,Prefab concrete,1.0,1.0,,,220.91,971.01,222.54,979.36,479.1,923.84,496.03,999.23,641.8,187.11,Prague - Uhříněves,50.03197,14.60946,Distance,Standard,Personal,Interior,10 to 30 years,,,,1.0,1.0,,
"CZK 12,000","CZK 4,500",CZK 0,266484,1 bedroom,10/1/2022,1,C,45 m²,Partly,,Brick,,,,,123.46,351.96,108.8,2721.35,899.67,419.41,2020.53,509.12,907.12,369.75,Prague - Ďáblice,50.1453207836,14.4867771564,,,Personal,,,,1.0,,,,,
"CZK 13,000","CZK 3,420","CZK 20,000",731847,Studio,9/1/2022,2,C,33 m²,Fully furnished,New-build,Brick,,1.0,1.0,,467.67,936.5,491.3,3808.89,400.89,489.39,381.14,3600.37,539.76,305.07,Prague - Štěrboholy,50.06882,14.55143,,,Personal,,,,,,1.0,,,
"CZK 18,000","CZK 5,000","CZK 20,000",731774,2 bedroom,8/30/2022,3,G,70 m²,Partly,Good,Brick,1.0,,1.0,,161.29,337.38,55.19,381.29,71.73,300.17,292.09,311.56,471.93,346.14,Prague - Uhříněves,50.02907,14.60114,,,,,,,,,,,,
"CZK 15,000","CZK 3,000","CZK 30,000",731851,2+kk,8/31/2022,3,G,44 m²,Partly,Good,Prefab concrete,1.0,1.0,,,178.66,637.83,583.15,963.21,27.44,919.22,821.64,367.58,529.56,16.47,Prague - Záběhlice,50.05346,14.50533,,,,,,,,,,,,
"CZK 10,800",CZK 900,"CZK 10,000",696706,Studio,12/21/2021,1,G,24 m²,Fully furnished,Very good,Brick,,,,,186.78,722.71,253.0,1111.34,189.73,189.67,805.67,611.83,932.63,611.84,"Na Neklance, Prague - Smíchov",50.06102,14.40291,,,Personal,,,,,,,,,
"CZK 11,490","CZK 2,213","CZK 13,703",731845,Studio,9/1/2022,3,C,31 m²,Unfurnished,New-build,Brick,1.0,1.0,,,52.48,1513.31,845.47,2293.07,663.28,1670.05,1214.25,1805.9,1093.36,675.88,"Davidovičova, Prague - Kyje",50.11542194444,14.56071416666,,,Personal,,,,1.0,1.0,1.0,,"CZK 13,703",
"CZK 28,100","CZK 3,801","CZK 56,200",571766,2+kk,7/24/2022,4,,75 m²,Fully furnished,,Brick,1.0,,,,263.94,473.14,107.04,412.76,39.58,450.66,409.9,711.12,442.84,75.83,"Liliová, Prague - Staré Město",50.0847515,14.4166508,Gas boiler,Luxurious,Personal,,,,,,,,,
"CZK 19,000","CZK 6,000","CZK 25,000",731788,3+1,8/30/2022,4,G,77 m²,Partly,Very good,Prefab concrete,,1.0,1.0,1.0,13.57,1392.96,35.73,1389.9,261.6,953.76,555.19,848.41,333.67,442.66,Prague - Chodov,50.03738,14.4776,,,,,,,,,,,,
"CZK 14,500","CZK 1,300","CZK 15,500",731841,Studio,8/31/2022,1,C,25 m²,Fully furnished,Very good,Brick,,,,,275.99,237.57,187.93,147.65,110.52,275.78,212.62,309.08,345.47,403.05,Prague - Smíchov,50.07431,14.40502,Electric boiler,,Personal,Complete,,,1.0,,,,,
"CZK 25,500","CZK 3,000","CZK 28,500",731843,2+kk,8/31/2022,2,G,45 m²,Fully furnished,New-build,Brick,1.0,1.0,,1.0,91.79,1033.08,59.53,216.71,276.84,361.04,302.53,510.3,1073.48,204.66,Prague - Kobylisy,50.12404,14.44935,,,,,,,,1.0,,1.0,,
"CZK 13,000","CZK 6,000","CZK 19,000",731842,2+kk,10/1/2022,1,G,46 m²,Partly,Good,Prefab concrete,1.0,1.0,1.0,1.0,38.3,180.61,107.72,122.2,166.98,1590.76,177.43,402.41,1066.18,405.04,Prague - Záběhlice,50.0473,14.48676,,,,,,,1.0,,,,,
