Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,PENB,Design,Heating,Renovation,Age,Total number of floors,New building,Front garden,Developer name,Project name,Kód jednotky,Administration fee
529237,"CZK 15,500",50.0077566,14.4193998,"Pejevové, Prague - Modřany",3 bedroom,69 m²,"CZK 5,000",Partially furnished,1,No,Yes,Yes,No,No,Yes,No,08. 12. 2021,433,483,264,307,344,300,322,978,993,451,Excellent,"CZK 20,000",Personal,Prefab concrete building,,Standard materials and solutions,District heating,Overall,,,,,,,,
695601,"CZK 13,500",50.11884,14.49549,"Litoměřická, Prague - Prosek",1 bedroom with open-plan kitchen,43 m²,"CZK 3,500",Partially furnished,3,Yes,No,Yes,No,Yes,Yes,Yes,08. 12. 2021,152,704,501,439,286,481,436,406,"1,140",379,Excellent,"CZK 20,000",Personal,Prefab concrete building,G,,District heating,,,Middle floor,,,,,,
695876,"CZK 13,000",50.08939,14.46746,"Biskupcova, Prague - Žižkov",1 bedroom with open-plan kitchen,48 m²,"CZK 1,500",Furnished,5,No,No,No,No,No,Yes,No,14. 12. 2021,101,739,26,69,80,97,399,484,431,263,Excellent,"CZK 17,000",Personal,Brick building,G,Standard materials and solutions,Gas boiler,Overall,over 50 years years,Attic,,,,,,
696026,"CZK 7,000",50.07225,14.39608,"Plzeňská, Prague - Smíchov",Small studio,15 m²,"CZK 2,000",Furnished,1,No,No,No,No,No,Yes,No,14. 12. 2021,201,669,27,360,39,511,190,"1,143",743,350,Excellent,"CZK 5,000",Other,Brick building,G,,,,,,,,,,,
696027,"CZK 9,500",50.07225,14.39608,"Plzeňská, Prague - Smíchov",1 bedroom,20 m²,"CZK 2,000",Furnished,1,No,No,No,No,No,Yes,No,01. 01. 2022,201,669,27,360,39,511,190,"1,143",743,350,Excellent,"CZK 6,250",Other,Brick building,G,,,,,,,,,,,
696031,"CZK 8,500",50.07225,14.39608,"Plzeňská, Prague - Smíchov",Small studio,18 m²,"CZK 2,000",Furnished,1,No,No,No,No,No,Yes,No,14. 12. 2021,201,669,27,360,39,511,190,"1,143",743,350,Excellent,"CZK 5,750",Other,Brick building,G,,,,,,,,,,,
695930,"CZK 16,000",50.12776,14.41251,"Svídnická, Prague - Troja",3 bedroom,70 m²,"CZK 3,000",Partially furnished,1,Yes,No,Yes,No,No,Yes,No,20. 12. 2021,102,487,176,422,422,334,171,361,377,,Excellent,"CZK 32,000",Cooperative,Prefab concrete building,G,,,,,,,,,,,
691820,"CZK 17,000",50.07451,14.42258,"Salmovská, Prague - Nové Město",3 bedroom,79 m²,"CZK 2,700",Unfurnished,3,No,No,No,No,No,Yes,No,11. 11. 2021,189,436,149,427,134,246,339,352,700,460,Good,"CZK 17,000",Personal,Brick building,G,Standard materials and solutions,Central heating,,,Middle floor,,,,,,
607608,"CZK 17,800",50.085862,14.416961,"Karlova, Prague - Staré Město",2 bedroom,50 m²,"CZK 2,000",Furnished,4,No,No,No,No,No,Yes,No,13. 12. 2021,169,297,32,314,18,110,439,790,500,259,Excellent,"CZK 18,000",Personal,Brick building,C,,,,,,,,,,,
132016,"CZK 19,000",50.1010657,14.5049,"U Harfy, Prague - Vysočany",2 bedroom,95 m²,CZK 450,Partially furnished,2,Yes,No,No,No,No,No,No,01. 06. 2018,221,"1,132",241,963,286,745,243,"1,059","1,249",787,,"CZK 19,000",Personal,Brick building,,,,,,,,,,,,
